model,provider,api_model,session_id,session_label,schema_version,design_status,analysis_role,mode,session_started_at,last_recorded_at,declared_context_lengths,observed_context_lengths,planned_repetitions,observed_repetitions_by_length,chronological_blocks,measured_requests,nonmeasured_requests,has_complete_session_end,has_request_boundaries,raw_file,schedule_file,notes
GPT-5.6 Sol,openai,gpt-5.6-sol,20260813T103837Z-e9b8b4c2,morning-eastern-uncached-control,2,complete_balanced,morning uncached control,uncached,2026-08-13T06:38:37.926695-04:00,2026-08-13T10:39:28.144559+00:00,100000;250000;375000;750000,100000;250000;375000;750000,2,100000:2;250000:2;375000:2;750000:2,2,8,0,true,true,data/raw/exploratory/20260813T103837Z-e9b8b4c2.jsonl,data/schedules/exploratory/20260813T103837Z-e9b8b4c2.csv,"Complete four-length, two-block uncached control."
GPT-5.6 Sol,openai,gpt-5.6-sol,20260813T131746Z-eee44bbe,morning-eastern-uncached-reprobe,2,complete_balanced,morning uncached reprobe,uncached,2026-08-13T09:17:46.120071-04:00,2026-08-13T13:18:26.594865+00:00,375000;750000,375000;750000,2,375000:2;750000:2,2,4,0,true,true,data/raw/exploratory/20260813T131746Z-eee44bbe.jsonl,data/schedules/exploratory/20260813T131746Z-eee44bbe.csv,Complete two-length reprobe; insufficient alone for fitting curvature.
Claude Opus 5,anthropic,claude-opus-5,20260813T133313Z-bf732dd9,morning-eastern-checkpoint-2,2,partial,morning shared-prefix checkpoint,shared_prefix_cached,2026-08-13T09:33:13.816734-04:00,2026-08-13T13:34:29.035287+00:00,250000;500000,250000;500000,3,250000:1;500000:1,2,2,1,false,true,data/raw/exploratory/20260813T133313Z-bf732dd9.jsonl,data/schedules/exploratory/20260813T133313Z-bf732dd9.csv,Stopped after two of six planned measurements; no session_end record.
Claude Opus 5,anthropic,claude-opus-5,20260813T142834Z-638a096e,opus-low-noise-uncached-pilot,2,complete_balanced,fixed-output uncached pilot,uncached,2026-08-13T10:28:34.629753-04:00,2026-08-13T14:29:23.954980+00:00,50000;250000;375000;750000,50000;250000;375000;750000,2,50000:2;250000:2;375000:2;750000:2,2,8,0,true,true,data/raw/exploratory/20260813T142834Z-638a096e.jsonl,data/schedules/exploratory/20260813T142834Z-638a096e.csv,"Complete four-length, two-block fixed-output pilot."
Claude Opus 5,anthropic,claude-opus-5,20260813T142953Z-8dfb4a91,opus-low-noise-shared-pilot,2,partial,fixed-output shared-prefix pilot,shared_prefix_cached,2026-08-13T10:29:53.626948-04:00,2026-08-13T14:31:31.873147+00:00,50000;250000;375000;750000,50000;250000;375000;750000,2,50000:1;250000:1;375000:1;750000:2,2,5,1,false,true,data/raw/exploratory/20260813T142953Z-8dfb4a91.jsonl,data/schedules/exploratory/20260813T142953Z-8dfb4a91.csv,Stopped during the second planned block; no session_end record.
Claude Opus 5,anthropic,claude-opus-5,20260813T143911Z-b976fc5b,opus-single-prefix-5-blocks,2,complete_balanced,fixed-output shared-prefix follow-up,shared_prefix_cached,2026-08-13T10:39:11.277991-04:00,2026-08-13T14:42:35.977407+00:00,50000;250000;375000;750000,50000;250000;375000;750000,5,50000:5;250000:5;375000:5;750000:5,5,20,1,true,true,data/raw/exploratory/20260813T143911Z-b976fc5b.jsonl,data/schedules/exploratory/20260813T143911Z-b976fc5b.csv,"Complete four-length, five-block session."
GPT-5.6 Terra,openai,gpt-5.6-terra,20260813T151839Z-94abf5a4,terra-low-noise-uncached-pilot,2,complete_balanced,fixed-output uncached pilot,uncached,2026-08-13T11:18:39.032709-04:00,2026-08-13T15:19:31.608848+00:00,50000;250000;375000;750000,50000;250000;375000;750000,2,50000:2;250000:2;375000:2;750000:2,2,8,0,true,true,data/raw/exploratory/20260813T151839Z-94abf5a4.jsonl,data/schedules/exploratory/20260813T151839Z-94abf5a4.csv,"Complete four-length, two-block session."
GPT-5.6 Terra,openai,gpt-5.6-terra,20260813T152640Z-0a256d9f,terra-low-noise-uncached-extension,2,complete_balanced,fixed-output uncached extension,uncached,2026-08-13T11:26:40.088261-04:00,2026-08-13T15:27:49.798766+00:00,50000;250000;375000;750000,50000;250000;375000;750000,3,50000:3;250000:3;375000:3;750000:3,3,12,0,true,true,data/raw/exploratory/20260813T152640Z-0a256d9f.jsonl,data/schedules/exploratory/20260813T152640Z-0a256d9f.csv,"Separate complete four-length, three-block extension."
GPT-5.6 Terra,openai,gpt-5.6-terra,20260813T153111Z-5a880348,terra-short-shared-prefix-5block,2,complete_balanced,fixed-output shared-prefix follow-up,shared_prefix_cached,2026-08-13T11:31:11.693570-04:00,2026-08-13T15:34:52.735766+00:00,50000;250000;375000;750000,50000;250000;375000;750000,5,50000:5;250000:5;375000:5;750000:5,5,20,1,true,true,data/raw/exploratory/20260813T153111Z-5a880348.jsonl,data/schedules/exploratory/20260813T153111Z-5a880348.csv,"Complete four-length, five-block session."
Claude Sonnet 5,anthropic,claude-sonnet-5,20260813T165440Z-0e5adc75,sonnet-shared-prefix-scaling-large,2,complete_balanced,full shared-prefix session,shared_prefix_cached,2026-08-13T12:54:40.034684-04:00,2026-08-13T17:01:10.382229+00:00,50000;100000;175000;250000;375000;550000;750000;900000,50000;100000;175000;250000;375000;550000;750000;900000,6,50000:6;100000:6;175000:6;250000:6;375000:6;550000:6;750000:6;900000:6,6,48,1,true,true,data/raw/exploratory/20260813T165440Z-0e5adc75.jsonl,data/schedules/exploratory/20260813T165440Z-0e5adc75.csv,"Complete eight-length, six-block session collected the day before the published Sonnet session."
GPT-5.6 Sol,openai,gpt-5.6-sol,20260813T174810Z-877203e7,sol-default-tier-uncached-scaling,2,complete_balanced,full fixed-output uncached session,uncached,2026-08-13T13:48:10.742412-04:00,2026-08-13T17:53:03.629558+00:00,50000;175000;250000;275000;550000;850000,50000;175000;250000;275000;550000;850000,6,50000:6;175000:6;250000:6;275000:6;550000:6;850000:6,6,36,0,true,true,data/raw/exploratory/20260813T174810Z-877203e7.jsonl,data/schedules/exploratory/20260813T174810Z-877203e7.csv,"Complete six-length, six-block strictly uncached session."
Claude Opus 5,anthropic,claude-opus-5,20260814T134405Z-c4566a73,opus-morning-eastern-repeat,2,complete_balanced,full shared-prefix repeat,shared_prefix_cached,2026-08-14T09:44:05.430537-04:00,2026-08-14T13:53:31.806680+00:00,50000;100000;175000;250000;375000;550000;750000;900000,50000;100000;175000;250000;375000;550000;750000;900000,6,50000:6;100000:6;175000:6;250000:6;375000:6;550000:6;750000:6;900000:6,6,48,1,true,true,data/raw/exploratory/20260814T134405Z-c4566a73.jsonl,data/schedules/exploratory/20260814T134405Z-c4566a73.csv,"Complete eight-length, six-block session collected the day after the published Opus session."
